rassrecv,h14itot,r13jhours,r14isret,racohbyr,r14ipena,r14jnjob,r14hlthlm,r14peninc,r14peni_n,h14absns,r13jhour2,h14adebt,r14jlten,h14atota,r14mstath,r13iearn,inw4,inw5,inw6,inw7,inw8,inw9,inw10,inw11,inw12,inw13,inw14,retire,r14agey_b,ragender
1,42300,0,17400,4,0,1,0,0,0,0,0,0,3.4,327000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,71,2
1,87600,40,15600,5,0,3,0,0,0,0,0,0,27.5,175000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,70,2
1,32400,40,24000,4,8400,3,0,1,1,0,0,0,15.9,235000,7,8000,0,0,0,0,0,0,0,0,0,0,1,1,71,2
1,13966.33398,0,13966.33398,6,0,5,1,0,0,0,0,2000,9.8,-1700,7,35000,0,0,0,0,0,0,0,0,0,0,1,1,63,2
1,28400,8,1200,6,0,3,0,0,0,0,0,0,3.1,32500,1,0,0,0,0,0,0,0,0,0,0,0,1,1,63,2
1,27624,0,16800,3,0,3,0,0,0,0,0,0,8.8,210000,1,90000,0,0,0,0,0,0,0,0,0,0,1,1,86,1
1,20341,20,17136,3,3096,3,1,1,1,0,0,0,15.2,230700,8,18800,0,0,0,0,0,0,0,0,0,0,1,1,82,2
1,19752,0,18552,3,0,2,1,0,0,0,0,0,25.3,77000,1,12000,0,0,0,0,0,0,0,0,0,0,1,1,83,1
1,21943.1194,15,14143.1194,3,7800,4,1,1,2,0,0,8000,13.6,311000,5,0,0,0,0,0,0,0,0,0,0,0,1,1,77,2
1,51800,20,16800,3,24000,3,0,1,1,0,0,0,34.3,128600,7,12000,0,0,0,0,0,0,0,0,0,0,1,1,76,1
1,153892,60,39720,3,0,5,0,0,0,0,0,0,21,2357075,1,127787,0,0,0,0,0,0,0,0,0,0,1,0,78,1
0,506400.0288,50,0,5,0,3,0,0,0,0,0,5000,17.3,1594000,1,190000,0,0,0,0,0,0,0,0,0,0,1,1,67,2
1,40655.30601,35,21495.30601,3,0,7,0,0,0,0,0,0,4.5,73000,1,12000,0,0,0,0,0,0,0,0,0,0,1,1,79,1
1,22648,15,9648,3,0,7,0,0,0,0,5,0,18,10000,7,25000,0,0,0,0,0,0,0,0,0,0,1,0,77,2
1,59055,32,4055,6,0,8,0,0,0,0,20,2000,6.8,12000,4,45000,0,0,0,0,0,0,0,0,0,0,1,0,63,2
1,36836,3,12000,3,0,6,1,0,0,0,0,0,11.2,825000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,87,2
1,21576,23,12456,4,9120,5,0,1,3,0,0,0,11.7,261500,7,13000,0,0,0,0,0,0,0,0,0,0,1,1,70,2
1,18060,20,0,4,0,7,0,0,0,0,0,300,12.7,93700,1,15000,0,0,0,0,0,0,0,0,0,0,1,1,76,1
1,26476.01398,40,14176.01398,3,5520,6,0,1,1,0,0,6000,17,24155,1,0,0,0,0,0,0,0,0,0,0,0,1,0,82,1
1,11436,0,7632,6,0,2,1,0,0,0,0,1700,5.4,-1200,5,0,0,0,0,0,0,0,0,0,0,0,1,1,63,2
1,120280,37,14400,5,0,2,0,0,0,0,10,5000,32.9,233000,5,92000,0,0,0,0,0,0,0,0,0,0,1,0,68,2
1,38336,6,10200,4,0,9,0,0,0,0,0,0,7.5,645000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,74,2
1,169665,5,14445,3,16020,3,0,1,2,0,0,0,25,1406000,1,6000,0,0,0,0,0,0,0,0,0,0,1,1,79,1
1,23172,0,17040,3,0,4,0,0,0,0,0,0,49.8,14510,1,0,0,0,0,0,0,0,0,0,0,0,1,0,82,1
1,68331,6,25092,3,13464,3,1,1,2,0,0,22000,21.8,796000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,85,1
1,29600,20,15600,3,0,3,1,0,0,0,0,0,7.8,4000,7,350,0,0,0,0,0,0,0,0,0,0,1,1,78,2
1,21600,35,21600,3,0,6,1,0,0,0,0,0,13.7,54556,7,0,0,0,0,0,0,0,0,0,0,0,1,1,79,2
1,71135,28,10500,3,0,3,1,0,0,0,0,800,35.2,907200,1,12000,0,0,0,0,0,0,0,0,0,0,1,1,76,2
1,19680,0,16800,5,1800,7,1,1,1,0,0,0,9.5,381000,5,0,0,0,0,0,0,0,0,0,0,0,1,1,65,2
1,39936,0,3936,5,0,4,1,0,0,0,0,15000,18.5,868200,5,0,0,0,0,0,0,0,0,0,0,0,1,1,69,1
1,45036,0,20400,3,24036,1,0,1,2,0,0,10000,7.5,20000,7,0,0,0,0,0,0,0,0,0,0,0,1,1,78,2
1,39900,30,18900,3,0,2,1,0,0,0,0,4000,51.2,66000,7,19500,0,0,0,0,0,0,0,0,0,0,1,1,76,2
1,65240,0,19284,3,5400,6,0,1,1,0,0,2500,28.3,-3100,1,22000,0,0,0,0,0,0,0,0,0,0,1,1,79,1
1,44475.26467,25,12831.26467,4,444,3,0,1,1,0,0,5000,20,-84881.4254,1,0,0,0,0,0,0,0,0,0,0,0,1,1,70,2
1,27603,20,15180,3,0,6,0,0,0,0,0,2000,30.2,112033,7,5000,0,0,0,0,0,0,0,0,0,0,1,1,80,2
1,26800,0,12000,3,0,1,0,0,0,0,0,60000,53.7,103000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,77,1
1,26800,40,10800,4,4000,5,1,1,1,0,0,60000,24.4,103000,1,30000,0,0,0,0,0,0,0,0,0,0,1,1,73,2
1,63760,50,19212,4,5308,3,1,0,0,0,0,35000,49.4,555000,7,1500,0,0,0,0,0,0,0,0,0,0,1,1,76,2
1,16800,20,7200,4,1200,10,0,1,1,0,0,3000,16.2,-2200,1,4000,0,0,0,0,0,0,0,0,0,0,1,1,70,2
1,13216,40,7716,6,0,6,1,0,0,0,0,20000,9.6,-15985,5,17644,0,0,0,0,0,0,0,0,0,0,1,0,63,2
1,168200,40,20400,3,7800,6,1,1,2,0,0,15000,15.4,125000,1,46000,0,0,0,0,0,0,0,0,0,0,1,1,77,1
1,39680,0,11040,3,2760,5,0,1,1,25000,0,0,31.2,1298000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,80,1
1,75600,15,19200,3,0,5,1,0,0,1000,0,11000,23.2,90000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,79,1
1,45172,30,15600,5,1572,2,1,1,1,0,0,2000,3,16100,7,0,0,0,0,0,0,0,0,0,0,0,1,1,68,2
1,27000,38,3000,4,0,1,0,0,0,0,0,0,39.7,125000,4,0,0,0,0,0,0,0,0,0,0,0,1,1,72,2
1,295670,55,31200,3,110000,1,0,1,1,0,0,0,48.2,585000,1,132000,0,0,0,0,0,0,0,0,0,0,1,1,76,1
1,42056,20,20304,3,0,8,0,0,0,0,0,2500,8.1,61500,1,0,0,0,0,0,0,0,0,0,0,0,1,1,76,2
